,0
0,0
1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,0
9,1
10,1
11,0
12,1
13,0
14,0
15,1
16,1
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,0
34,0
35,1
36,1
37,1
38,0
39,1
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,1
49,1
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,1
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,0
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,1
101,1
102,0
103,0
104,0
105,1
106,0
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,1
115,1
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,1
162,0
163,0
164,0
165,0
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,1
203,0
204,1
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,1
218,1
219,1
220,0
221,0
222,0
223,1
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,0
281,1
282,1
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,1
308,0
309,0
310,1
311,0
312,0
313,0
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,1
330,1
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,0
343,0
344,1
345,1
346,0
347,1
348,1
349,0
350,0
351,0
352,1
353,0
354,0
355,1
356,1
357,0
358,0
359,0
360,1
361,1
