,0
0,1
1,1
2,2
3,2
4,2
5,2
6,1
7,1
8,2
9,2
10,2
11,1
12,2
13,2
14,1
15,1
16,2
17,2
18,1
19,1
20,1
21,2
22,2
23,2
24,1
25,1
26,2
27,1
28,2
29,1
30,2
31,2
32,1
33,1
34,1
35,2
36,2
37,1
38,2
39,2
40,1
41,1
42,2
43,1
44,1
45,2
46,1
47,1
48,2
49,2
50,1
51,2
52,1
53,2
54,1
55,1
56,2
57,1
58,2
59,2
60,2
61,1
62,1
63,1
64,1
65,1
66,1
67,2
68,2
69,2
70,1
71,1
72,1
73,2
74,1
75,2
76,1
77,1
78,2
79,1
80,1
81,2
82,2
83,1
84,2
85,1
86,2
87,2
88,2
89,1
90,1
91,2
92,1
93,1
94,2
95,1
96,2
97,2
98,2
99,1
100,2
101,2
102,1
103,1
104,2
105,2
106,1
107,1
108,2
109,1
110,2
111,2
112,2
113,1
114,1
115,2
116,2
117,1
118,1
119,1
120,1
121,1
122,1
123,2
124,2
125,2
126,2
127,2
128,1
129,1
130,1
131,1
132,2
133,2
134,2
135,2
136,1
137,2
138,1
139,2
140,2
141,1
142,2
143,1
144,2
145,1
146,1
147,1
148,1
149,1
150,2
151,2
152,2
153,1
154,1
155,1
156,1
157,2
158,2
159,1
160,1
161,2
162,1
163,1
164,1
165,2
166,1
167,2
168,2
169,2
170,1
171,1
172,2
173,1
174,1
175,2
176,2
177,1
178,1
179,1
180,1
181,2
182,1
183,2
184,1
185,1
186,1
187,1
188,1
189,2
190,2
191,2
192,1
193,2
194,2
195,2
196,1
197,2
198,1
199,1
200,2
201,2
202,2
203,2
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,2
218,2
219,1
220,1
221,1
222,1
223,2
224,1
225,1
226,2
227,2
228,1
229,1
230,2
231,2
232,1
233,1
234,2
235,2
236,1
237,1
238,2
239,1
240,1
241,1
242,1
243,2
244,2
245,2
246,1
247,2
248,1
249,1
250,1
251,1
252,1
253,2
254,2
255,1
256,2
257,1
258,1
259,2
260,2
261,2
262,1
263,1
264,1
265,2
266,2
267,1
268,1
269,1
270,1
271,1
272,2
273,2
274,1
275,1
276,2
277,2
278,1
279,2
280,1
281,2
282,2
283,1
284,1
285,2
286,1
287,2
288,1
289,1
290,2
291,2
292,2
293,1
294,1
295,1
296,1
297,1
298,2
299,1
300,1
301,1
302,1
303,1
304,2
305,2
306,2
307,2
308,1
309,1
310,2
311,1
312,2
313,1
314,2
315,2
316,1
317,1
318,2
319,2
320,1
321,2
322,1
323,1
324,1
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,2
334,1
335,1
336,1
337,2
338,2
339,1
340,2
341,2
342,1
343,1
344,2
345,2
346,2
347,2
348,2
349,1
350,2
351,1
352,2
353,1
354,1
355,1
356,2
357,2
358,2
359,1
360,1
361,2
